FILENAME,NAME,DATACATEGORIES
CED_Tabla5.csv,"Población por nacionalidad y lugar de nacimiento y sexo",NACIONALIDAD
CED_Tabla6.csv,"Población nacida en el extranjero, según grandes regiones y sexo",LUGAR DE NACIMIENTO

